camera_id,latitude,longitude,district_id,station_id,camera_type,resolution,coverage_radius,orientation,field_of_view,installation_height,day_night,operational_status
CAM-000000,13.11216,77.46332,KA-BLR,STN-KA-BLR-0000,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000001,13.12181,77.46797,KA-BLR,STN-KA-BLR-0000,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000002,13.12703,77.42916,KA-BLR,STN-KA-BLR-0000,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000003,13.13266,77.43712,KA-BLR,STN-KA-BLR-0000,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000004,13.0892,77.47764,KA-BLR,STN-KA-BLR-0000,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000005,13.10092,77.47287,KA-BLR,STN-KA-BLR-0000,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000006,13.14156,77.45753,KA-BLR,STN-KA-BLR-0000,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000007,13.14389,77.42283,KA-BLR,STN-KA-BLR-0000,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000008,13.12854,77.42798,KA-BLR,STN-KA-BLR-0000,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000009,13.12134,77.44153,KA-BLR,STN-KA-BLR-0000,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000010,13.12176,77.44442,KA-BLR,STN-KA-BLR-0000,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000011,13.02692,77.71006,KA-BLR,STN-KA-BLR-0001,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000012,13.0769,77.72813,KA-BLR,STN-KA-BLR-0001,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000013,13.03038,77.71272,KA-BLR,STN-KA-BLR-0001,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000014,13.02418,77.68507,KA-BLR,STN-KA-BLR-0001,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000015,13.04973,77.7198,KA-BLR,STN-KA-BLR-0001,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000016,13.03852,77.68162,KA-BLR,STN-KA-BLR-0001,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000017,13.06316,77.68601,KA-BLR,STN-KA-BLR-0001,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000018,13.07428,77.68777,KA-BLR,STN-KA-BLR-0001,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000019,13.07969,77.72942,KA-BLR,STN-KA-BLR-0001,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000020,13.0256,77.71683,KA-BLR,STN-KA-BLR-0001,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000021,13.03333,77.70006,KA-BLR,STN-KA-BLR-0001,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000022,13.03237,77.67551,KA-BLR,STN-KA-BLR-0001,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000023,13.05003,77.6879,KA-BLR,STN-KA-BLR-0001,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000024,13.06821,77.69739,KA-BLR,STN-KA-BLR-0001,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000025,13.17674,77.51306,KA-BLR,STN-KA-BLR-0002,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000026,13.17717,77.50259,KA-BLR,STN-KA-BLR-0002,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
