cctv_event_id,camera_id,camera_type,camera_owner,location_description,latitude,longitude,district_id,station_id,event_timestamp,vehicle_plate_captured,vehicle_type,vehicle_color,person_silhouette_class,num_persons_captured,linked_fir_id,is_primary_evidence,footage_available,footage_quality
CCTV-00000000,CAM-KA-MYS-1734,dome,Traffic Police,"Near crime scene, Periyapatna, Mysuru",12.336297,76.425074,KA-MYS,STN-KA-MYS-0019,2021-01-01T05:25:00,KA-09 YZ 7175,auto_rickshaw,grey,juvenile,3,FIR-MYS-2021-00001,true,false,medium_res
CCTV-00000001,CAM-KA-MYS-9205,traffic_enforcement,Bank,"Near crime scene, Periyapatna, Mysuru",12.334184,76.424841,KA-MYS,STN-KA-MYS-0019,2021-01-01T01:37:00,KA-42 EB 4282,auto_rickshaw,black,group_2,4,FIR-MYS-2021-00001,true,true,low_res
CCTV-00000002,CAM-KA-BLG-5491,bodycam,Police Department,"Near crime scene, Savadatti, Belagavi",15.801668,74.522913,KA-BLG,STN-KA-BLG-0029,2021-01-03T10:51:00,KA-28 UQ 3285,motorcycle,grey,female_adult,2,FIR-BLG-2021-00001,true,true,medium_res
CCTV-00000003,CAM-KA-BLG-3512,atm_internal,Traffic Police,"Near crime scene, Savadatti, Belagavi",15.801728,74.521691,KA-BLG,STN-KA-BLG-0029,2021-01-03T15:43:00,,,,juvenile,1,FIR-BLG-2021-00001,false,false,medium_res
CCTV-00000004,CAM-KA-BLG-6913,ptz,Police Department,"Near crime scene, Savadatti, Belagavi",15.805066,74.520687,KA-BLG,STN-KA-BLG-0029,2021-01-03T18:37:00,KA-13 KV 3187,car,blue,group_3plus,3,FIR-BLG-2021-00001,false,true,medium_res
CCTV-00000005,CAM-KA-BLG-4076,dome,BBMP,"Near crime scene, Belagavi, Belagavi",15.877025,74.579552,KA-BLG,STN-KA-BLG-0004,2021-01-03T06:03:00,KA-06 TZ 8871,auto_rickshaw,orange,group_3plus,3,FIR-BLG-2021-00002,false,true,medium_res
CCTV-00000006,CAM-KA-BLG-7956,bodycam,Police Department,"Near crime scene, Belagavi, Belagavi",15.875074,74.5787,KA-BLG,STN-KA-BLG-0004,2021-01-03T12:52:00,,,,group_3plus,3,FIR-BLG-2021-00002,false,true,corrupted
CCTV-00000007,CAM-KA-BLG-3365,ptz,BBMP,"Near crime scene, Belagavi, Belagavi",15.875174,74.579915,KA-BLG,STN-KA-BLG-0004,2021-01-03T08:30:00,,,,male_adult,1,FIR-BLG-2021-00002,true,true,medium_res
CCTV-00000008,CAM-KA-HBL-9254,dome,Bank,"Near crime scene, Dharwad, Hubballi-Dharwad",15.290771,75.070671,KA-HBL,STN-KA-HBL-0011,2021-01-03T05:05:00,,,,group_2,3,FIR-HBL-2021-00001,false,false,high_res
CCTV-00000009,CAM-KA-HBL-7477,traffic_enforcement,Bank,"Near crime scene, Dharwad, Hubballi-Dharwad",15.29389,75.06903,KA-HBL,STN-KA-HBL-0011,2021-01-03T01:26:00,KA-28 VK 8402,van,white,male_adult,1,FIR-HBL-2021-00001,false,true,medium_res
CCTV-00000010,CAM-KA-HBL-8797,bullet,Police Department,"Near crime scene, Dharwad, Hubballi-Dharwad",15.290751,75.070697,KA-HBL,STN-KA-HBL-0011,2021-01-03T20:01:00,,,,group_3plus,2,FIR-HBL-2021-00001,true,true,medium_res
CCTV-00000011,CAM-KA-BDR-7190,ptz,KSTDC,"Near crime scene, Bidar, Bidar",17.586369,77.144909,KA-BDR,STN-KA-BDR-0005,2021-01-04T06:43:00,KA-36 ZI 2515,motorcycle,grey,group_3plus,3,FIR-BDR-2021-00001,false,true,medium_res
CCTV-00000012,CAM-KA-BLR2-6649,bullet,Private Business,"Near crime scene, Ballari, Ballari",15.276128,76.779274,KA-BLR2,STN-KA-BLR2-0006,2021-01-05T07:06:00,KA-02 CD 9444,auto_rickshaw,green,group_3plus,2,FIR-BLR2-2021-00001,false,false,medium_res
CCTV-00000013,CAM-KA-BLR2-9987,bullet,Private Business,"Near crime scene, Ballari, Ballari",15.276724,76.778259,KA-BLR2,STN-KA-BLR2-0006,2021-01-05T18:00:00,KA-09 AE 4869,motorcycle,orange,female_adult,4,FIR-BLR2-2021-00001,false,false,corrupted
CCTV-00000014,CAM-KA-CKM-5886,bodycam,Bank,"Near crime scene, Chikkamagaluru, Chikkamagaluru",12.999033,75.970758,KA-CKM,STN-KA-CKM-0004,2021-01-06T17:46:00,,,,group_3plus,4,FIR-CKM-2021-00001,true,true,corrupted
CCTV-00000015,CAM-KA-CKM-6410,traffic_enforcement,BBMP,"Near crime scene, Chikkamagaluru, Chikkamagaluru",12.997533,75.970864,KA-CKM,STN-KA-CKM-0004,2021-01-06T11:23:00,KA-36 HV 5440,car,green,group_2,1,FIR-CKM-2021-00001,false,true,low_res
CCTV-00000016,CAM-KA-KLP-3569,bullet,BBMP,"Near crime scene, Kalaburagi, Kalaburagi",17.74029,76.722108,KA-KLP,STN-KA-KLP-0001,2021-01-07T21:24:00,,,,male_adult,4,FIR-KLP-2021-00002,true,true,medium_res
CCTV-00000017,CAM-KA-BLR-5085,bodycam,Traffic Police,"Near crime scene, Mahadevapura, Bengaluru Urban",13.215848,77.513277,KA-BLR,STN-KA-BLR-0055,2021-01-09T15:53:00,KA-26 IH 3109,car,blue,group_3plus,3,FIR-BLR-2021-00009,false,true,low_res
CCTV-00000018,CAM-KA-BLR-4976,traffic_enforcement,BBMP,"Near crime scene, Bengaluru South, Bengaluru Urban",13.175133,77.414567,KA-BLR,STN-KA-BLR-0012,2021-01-10T08:31:00,,,,juvenile,3,FIR-BLR-2021-00010,false,true,medium_res
CCTV-00000019,CAM-KA-BLR-7485,bullet,Bank,"Near crime scene, Bengaluru South, Bengaluru Urban",13.177528,77.4135,KA-BLR,STN-KA-BLR-0012,2021-01-10T15:09:00,KA-17 CV 6538,auto_rickshaw,blue,female_adult,2,FIR-BLR-2021-00010,false,true,high_res
CCTV-00000020,CAM-KA-BLR-9491,dome,BBMP,"Near crime scene, Bengaluru North, Bengaluru Urban",13.063482,77.598567,KA-BLR,STN-KA-BLR-0007,2021-01-11T14:36:00,KA-12 SN 4764,auto_rickshaw,red,group_2,2,FIR-BLR-2021-00011,false,true,high_res
CCTV-00000021,CAM-KA-BLR-1419,traffic_enforcement,Private Business,"Near crime scene, Bengaluru North, Bengaluru Urban",13.061548,77.599642,KA-BLR,STN-KA-BLR-0007,2021-01-11T23:05:00,KA-36 RT 4793,van,white,group_2,4,FIR-BLR-2021-00011,true,true,medium_res
CCTV-00000022,CAM-KA-KLP-2321,atm_internal,KSTDC,"Near crime scene, Shorapur, Kalaburagi",17.156281,77.341186,KA-KLP,STN-KA-KLP-0023,2021-01-11T18:14:00,,,,juvenile,1,FIR-KLP-2021-00003,true,true,medium_res
CCTV-00000023,CAM-KA-KLP-7321,dome,Traffic Police,"Near crime scene, Shorapur, Kalaburagi",17.156279,77.33852,KA-KLP,STN-KA-KLP-0023,2021-01-11T05:11:00,KA-05 RY 5028,auto_rickshaw,green,juvenile,3,FIR-KLP-2021-00003,true,true,medium_res
CCTV-00000024,CAM-KA-BLR-9608,dome,BBMP,"Near crime scene, Rajarajeshwari Nagar, Bengaluru Urban",12.99446,77.437476,KA-BLR,STN-KA-BLR-0046,2021-01-12T03:33:00,KA-18 NS 6344,car,green,juvenile,1,FIR-BLR-2021-00012,true,false,medium_res
CCTV-00000025,CAM-KA-BLR-6234,ptz,BBMP,"Near crime scene, Rajarajeshwari Nagar, Bengaluru Urban",12.995624,77.434285,KA-BLR,STN-KA-BLR-0046,2021-01-12T11:05:00,KA-24 SF 7229,auto_rickshaw,grey,female_adult,4,FIR-BLR-2021-00012,true,true,high_res
CCTV-00000026,CAM-KA-BLR-5969,atm_internal,Traffic Police,"Near crime scene, Bengaluru East, Bengaluru Urban",12.967153,77.547441,KA-BLR,STN-KA-BLR-0020,2021-01-13T12:00:00,KA-08 UD 7858,auto_rickshaw,blue,juvenile,3,FIR-BLR-2021-00014,true,true,high_res
CCTV-00000027,CAM-KA-KLP-6134,bodycam,KSTDC,"Near crime scene, Chittapur, Kalaburagi",17.548692,76.651169,KA-KLP,STN-KA-KLP-0011,2021-01-14T22:21:00,KA-17 DL 4735,car,green,group_2,4,FIR-KLP-2021-00005,true,true,medium_res
CCTV-00000028,CAM-KA-CHB-7635,bullet,Police Department,"Near crime scene, Gudibande, Chikkaballapura",13.590031,77.82087,KA-CHB,STN-KA-CHB-0012,2021-01-15T06:29:00,KA-19 UU 6941,auto_rickshaw,black,unidentifiable,2,FIR-CHB-2021-00002,false,true,medium_res
CCTV-00000029,CAM-KA-CHB-4647,dome,Bank,"Near crime scene, Gudibande, Chikkaballapura",13.590668,77.82022,KA-CHB,STN-KA-CHB-0012,2021-01-15T20:22:00,KA-13 MU 7206,car,blue,group_2,2,FIR-CHB-2021-00002,true,false,medium_res
CCTV-00000030,CAM-KA-CHB-9335,atm_internal,Private Business,"Near crime scene, Gudibande, Chikkaballapura",13.590265,77.820475,KA-CHB,STN-KA-CHB-0012,2021-01-15T20:05:00,KA-04 DF 3610,auto_rickshaw,grey,group_2,3,FIR-CHB-2021-00002,false,false,low_res
