ping_id,phone_id,tower_id,timestamp,signal_strength
PING-00000000,PHN-00001594,TOW-02975,2021-01-01T07:04:00,-94
PING-00000001,PHN-00001594,TOW-02973,2021-01-01T07:19:00,-89
PING-00000002,PHN-00001594,TOW-02973,2021-01-01T07:34:00,-67
PING-00000003,PHN-00001594,TOW-02973,2021-01-01T07:49:00,-99
PING-00000004,PHN-00001594,TOW-02973,2021-01-01T08:04:00,-82
PING-00000005,PHN-00001594,TOW-02973,2021-01-01T08:19:00,-86
PING-00000006,PHN-00001594,TOW-02973,2021-01-01T08:34:00,-51
PING-00000007,PHN-00001594,TOW-02973,2021-01-01T08:49:00,-84
PING-00000008,PHN-00001594,TOW-02974,2021-01-01T09:04:00,-72
PING-00000009,PHN-00002468,TOW-01097,2021-01-02T18:06:00,-98
PING-00000010,PHN-00002468,TOW-01097,2021-01-02T18:21:00,-91
PING-00000011,PHN-00002468,TOW-01097,2021-01-02T18:36:00,-89
PING-00000012,PHN-00002468,TOW-01097,2021-01-02T18:51:00,-53
PING-00000013,PHN-00002468,TOW-01097,2021-01-02T19:06:00,-62
PING-00000014,PHN-00002468,TOW-01097,2021-01-02T19:21:00,-75
PING-00000015,PHN-00002468,TOW-01097,2021-01-02T19:36:00,-98
PING-00000016,PHN-00002468,TOW-01097,2021-01-02T19:51:00,-71
PING-00000017,PHN-00002468,TOW-01097,2021-01-02T20:06:00,-95
PING-00000018,PHN-00004117,TOW-00949,2021-01-03T20:08:00,-57
PING-00000019,PHN-00004117,TOW-00949,2021-01-03T20:23:00,-78
PING-00000020,PHN-00004117,TOW-00949,2021-01-03T20:38:00,-54
PING-00000021,PHN-00004117,TOW-00949,2021-01-03T20:53:00,-61
PING-00000022,PHN-00004117,TOW-00949,2021-01-03T21:08:00,-84
PING-00000023,PHN-00004117,TOW-00949,2021-01-03T21:23:00,-70
PING-00000024,PHN-00004117,TOW-00949,2021-01-03T21:38:00,-80
PING-00000025,PHN-00004117,TOW-00949,2021-01-03T21:53:00,-100
PING-00000026,PHN-00004117,TOW-00949,2021-01-03T22:08:00,-74
PING-00000027,PHN-00000983,TOW-00637,2021-01-04T13:00:00,-82
PING-00000028,PHN-00000983,TOW-00637,2021-01-04T13:15:00,-92
PING-00000029,PHN-00000983,TOW-00637,2021-01-04T13:30:00,-61
PING-00000030,PHN-00000983,TOW-00637,2021-01-04T13:45:00,-77
PING-00000031,PHN-00000983,TOW-00637,2021-01-04T14:00:00,-55
PING-00000032,PHN-00000983,TOW-00637,2021-01-04T14:15:00,-85
PING-00000033,PHN-00000983,TOW-00637,2021-01-04T14:30:00,-57
PING-00000034,PHN-00000983,TOW-00635,2021-01-04T14:45:00,-52
PING-00000035,PHN-00000983,TOW-00635,2021-01-04T15:00:00,-99
PING-00000036,PHN-00003571,TOW-03022,2021-01-05T17:35:00,-59
PING-00000037,PHN-00003571,TOW-03022,2021-01-05T17:50:00,-81
PING-00000038,PHN-00003571,TOW-03022,2021-01-05T18:05:00,-74
PING-00000039,PHN-00003571,TOW-03022,2021-01-05T18:20:00,-53
PING-00000040,PHN-00003571,TOW-03022,2021-01-05T18:35:00,-53
PING-00000041,PHN-00003571,TOW-03022,2021-01-05T18:50:00,-55
PING-00000042,PHN-00003571,TOW-03022,2021-01-05T19:05:00,-58
PING-00000043,PHN-00003571,TOW-03022,2021-01-05T19:20:00,-62
PING-00000044,PHN-00003571,TOW-03021,2021-01-05T19:35:00,-99
PING-00000045,PHN-00004091,TOW-01948,2021-01-05T21:53:00,-57
