tower_id,latitude,longitude,district_id,station_id,provider,radius,operator,sector_count,coverage_polygon
TOW-00000,13.13635,77.41729,KA-BLR,STN-KA-BLR-0000,Jio,5000.0,Airtel,3,
TOW-00001,13.09085,77.41579,KA-BLR,STN-KA-BLR-0000,Jio,5000.0,Airtel,3,
TOW-00002,13.08237,77.43859,KA-BLR,STN-KA-BLR-0000,Airtel,5000.0,Airtel,3,
TOW-00003,13.15072,77.4861,KA-BLR,STN-KA-BLR-0000,Vi,5000.0,Airtel,3,
TOW-00004,13.14422,77.47296,KA-BLR,STN-KA-BLR-0000,Airtel,5000.0,Airtel,3,
TOW-00005,13.10688,77.47359,KA-BLR,STN-KA-BLR-0000,Airtel,5000.0,Airtel,3,
TOW-00006,13.02341,77.74101,KA-BLR,STN-KA-BLR-0001,Vi,5000.0,Airtel,3,
TOW-00007,13.01305,77.68752,KA-BLR,STN-KA-BLR-0001,Airtel,5000.0,Airtel,3,
TOW-00008,13.01987,77.71027,KA-BLR,STN-KA-BLR-0001,BSNL,5000.0,Airtel,3,
TOW-00009,13.03592,77.74047,KA-BLR,STN-KA-BLR-0001,BSNL,5000.0,Airtel,3,
TOW-00010,13.14805,77.5407,KA-BLR,STN-KA-BLR-0002,Vi,5000.0,Airtel,3,
TOW-00011,13.22497,77.49232,KA-BLR,STN-KA-BLR-0002,Jio,5000.0,Airtel,3,
TOW-00012,13.186,77.54719,KA-BLR,STN-KA-BLR-0002,Airtel,5000.0,Airtel,3,
TOW-00013,13.19765,77.5281,KA-BLR,STN-KA-BLR-0002,BSNL,5000.0,Airtel,3,
TOW-00014,13.21976,77.53647,KA-BLR,STN-KA-BLR-0002,Airtel,5000.0,Airtel,3,
TOW-00015,13.21557,77.52579,KA-BLR,STN-KA-BLR-0002,Vi,5000.0,Airtel,3,
TOW-00016,12.91321,77.71214,KA-BLR,STN-KA-BLR-0003,BSNL,5000.0,Airtel,3,
TOW-00017,12.8935,77.74932,KA-BLR,STN-KA-BLR-0003,Jio,5000.0,Airtel,3,
TOW-00018,12.93851,77.71357,KA-BLR,STN-KA-BLR-0003,Airtel,5000.0,Airtel,3,
TOW-00019,12.94329,77.72436,KA-BLR,STN-KA-BLR-0003,Vi,5000.0,Airtel,3,
TOW-00020,12.90714,77.74811,KA-BLR,STN-KA-BLR-0003,Airtel,5000.0,Airtel,3,
TOW-00021,13.12218,77.58704,KA-BLR,STN-KA-BLR-0004,Jio,5000.0,Airtel,3,
TOW-00022,13.13925,77.57507,KA-BLR,STN-KA-BLR-0004,Airtel,5000.0,Airtel,3,
TOW-00023,13.07315,77.60438,KA-BLR,STN-KA-BLR-0004,Jio,5000.0,Airtel,3,
TOW-00024,12.88293,77.40888,KA-BLR,STN-KA-BLR-0005,Vi,5000.0,Airtel,3,
TOW-00025,12.93478,77.40138,KA-BLR,STN-KA-BLR-0005,Vi,5000.0,Airtel,3,
TOW-00026,12.89945,77.38462,KA-BLR,STN-KA-BLR-0005,Airtel,5000.0,Airtel,3,
TOW-00027,12.90521,77.40083,KA-BLR,STN-KA-BLR-0005,Airtel,5000.0,Airtel,3,
TOW-00028,12.89943,77.39106,KA-BLR,STN-KA-BLR-0005,Jio,5000.0,Airtel,3,
TOW-00029,13.13925,77.70274,KA-BLR,STN-KA-BLR-0006,Vi,5000.0,Airtel,3,
TOW-00030,13.12149,77.69105,KA-BLR,STN-KA-BLR-0006,Airtel,5000.0,Airtel,3,
TOW-00031,13.13889,77.646,KA-BLR,STN-KA-BLR-0006,Airtel,5000.0,Airtel,3,
TOW-00032,13.10634,77.62743,KA-BLR,STN-KA-BLR-0006,Jio,5000.0,Airtel,3,
TOW-00033,13.12566,77.64589,KA-BLR,STN-KA-BLR-0006,Jio,5000.0,Airtel,3,
TOW-00034,13.13825,77.69982,KA-BLR,STN-KA-BLR-0006,Airtel,5000.0,Airtel,3,
TOW-00035,13.09308,77.68215,KA-BLR,STN-KA-BLR-0006,Vi,5000.0,Airtel,3,
TOW-00036,13.05858,77.57932,KA-BLR,STN-KA-BLR-0007,Jio,5000.0,Airtel,3,
TOW-00037,13.08173,77.60456,KA-BLR,STN-KA-BLR-0007,Jio,5000.0,Airtel,3,
TOW-00038,13.06326,77.56501,KA-BLR,STN-KA-BLR-0007,BSNL,5000.0,Airtel,3,
TOW-00039,13.06102,77.56263,KA-BLR,STN-KA-BLR-0007,BSNL,5000.0,Airtel,3,
TOW-00040,13.08886,77.54469,KA-BLR,STN-KA-BLR-0007,Vi,5000.0,Airtel,3,
TOW-00041,13.08433,77.60628,KA-BLR,STN-KA-BLR-0007,BSNL,5000.0,Airtel,3,
TOW-00042,13.21403,77.73039,KA-BLR,STN-KA-BLR-0008,BSNL,5000.0,Airtel,3,
TOW-00043,13.17301,77.68609,KA-BLR,STN-KA-BLR-0008,BSNL,5000.0,Airtel,3,
TOW-00044,13.15371,77.6995,KA-BLR,STN-KA-BLR-0008,Jio,5000.0,Airtel,3,
TOW-00045,13.19497,77.74818,KA-BLR,STN-KA-BLR-0008,BSNL,5000.0,Airtel,3,
TOW-00046,13.13954,77.72308,KA-BLR,STN-KA-BLR-0009,Jio,5000.0,Airtel,3,
TOW-00047,13.16863,77.67317,KA-BLR,STN-KA-BLR-0009,Airtel,5000.0,Airtel,3,
TOW-00048,13.16819,77.70369,KA-BLR,STN-KA-BLR-0009,BSNL,5000.0,Airtel,3,
TOW-00049,13.1427,77.70398,KA-BLR,STN-KA-BLR-0009,Airtel,5000.0,Airtel,3,
TOW-00050,13.14636,77.72841,KA-BLR,STN-KA-BLR-0009,BSNL,5000.0,Airtel,3,
TOW-00051,13.17173,77.71961,KA-BLR,STN-KA-BLR-0009,BSNL,5000.0,Airtel,3,
TOW-00052,13.13847,77.68386,KA-BLR,STN-KA-BLR-0009,Airtel,5000.0,Airtel,3,
TOW-00053,12.82771,77.46116,KA-BLR,STN-KA-BLR-0010,Vi,5000.0,Airtel,3,
TOW-00054,12.85943,77.45883,KA-BLR,STN-KA-BLR-0010,Jio,5000.0,Airtel,3,
TOW-00055,12.87406,77.44129,KA-BLR,STN-KA-BLR-0010,BSNL,5000.0,Airtel,3,
TOW-00056,12.88597,77.46041,KA-BLR,STN-KA-BLR-0010,Airtel,5000.0,Airtel,3,
TOW-00057,12.89073,77.41241,KA-BLR,STN-KA-BLR-0010,BSNL,5000.0,Airtel,3,
TOW-00058,12.85773,77.41127,KA-BLR,STN-KA-BLR-0010,Jio,5000.0,Airtel,3,
TOW-00059,12.80562,77.58262,KA-BLR,STN-KA-BLR-0011,Airtel,5000.0,Airtel,3,
TOW-00060,12.86809,77.58777,KA-BLR,STN-KA-BLR-0011,BSNL,5000.0,Airtel,3,
TOW-00061,12.81096,77.6005,KA-BLR,STN-KA-BLR-0011,BSNL,5000.0,Airtel,3,
TOW-00062,12.8533,77.60506,KA-BLR,STN-KA-BLR-0011,Jio,5000.0,Airtel,3,
TOW-00063,12.84595,77.58461,KA-BLR,STN-KA-BLR-0011,Vi,5000.0,Airtel,3,
TOW-00064,12.84826,77.6065,KA-BLR,STN-KA-BLR-0011,Vi,5000.0,Airtel,3,
TOW-00065,12.84873,77.62588,KA-BLR,STN-KA-BLR-0011,BSNL,5000.0,Airtel,3,
TOW-00066,13.189,77.48935,KA-BLR,STN-KA-BLR-0012,Airtel,5000.0,Airtel,3,
TOW-00067,13.19308,77.4433,KA-BLR,STN-KA-BLR-0012,Airtel,5000.0,Airtel,3,
TOW-00068,13.15981,77.45261,KA-BLR,STN-KA-BLR-0012,Jio,5000.0,Airtel,3,
TOW-00069,12.78801,77.59186,KA-BLR,STN-KA-BLR-0013,BSNL,5000.0,Airtel,3,
TOW-00070,12.83049,77.59358,KA-BLR,STN-KA-BLR-0013,BSNL,5000.0,Airtel,3,
TOW-00071,12.82787,77.62081,KA-BLR,STN-KA-BLR-0013,Vi,5000.0,Airtel,3,
TOW-00072,12.84125,77.62002,KA-BLR,STN-KA-BLR-0013,Vi,5000.0,Airtel,3,
TOW-00073,12.81414,77.61046,KA-BLR,STN-KA-BLR-0014,Vi,5000.0,Airtel,3,
TOW-00074,12.80568,77.54628,KA-BLR,STN-KA-BLR-0014,BSNL,5000.0,Airtel,3,
TOW-00075,12.81789,77.53934,KA-BLR,STN-KA-BLR-0014,Jio,5000.0,Airtel,3,
TOW-00076,12.85228,77.66335,KA-BLR,STN-KA-BLR-0015,Vi,5000.0,Airtel,3,
TOW-00077,12.83568,77.68628,KA-BLR,STN-KA-BLR-0015,Jio,5000.0,Airtel,3,
TOW-00078,12.82886,77.70903,KA-BLR,STN-KA-BLR-0015,BSNL,5000.0,Airtel,3,
TOW-00079,12.83423,77.72378,KA-BLR,STN-KA-BLR-0015,Vi,5000.0,Airtel,3,
TOW-00080,12.80448,77.66029,KA-BLR,STN-KA-BLR-0015,BSNL,5000.0,Airtel,3,
TOW-00081,12.85416,77.70924,KA-BLR,STN-KA-BLR-0015,Vi,5000.0,Airtel,3,
TOW-00082,12.83225,77.7187,KA-BLR,STN-KA-BLR-0015,Vi,5000.0,Airtel,3,
TOW-00083,12.94707,77.67376,KA-BLR,STN-KA-BLR-0016,BSNL,5000.0,Airtel,3,
TOW-00084,12.93798,77.70932,KA-BLR,STN-KA-BLR-0016,Jio,5000.0,Airtel,3,
TOW-00085,12.91748,77.73954,KA-BLR,STN-KA-BLR-0016,Airtel,5000.0,Airtel,3,
TOW-00086,12.93931,77.72114,KA-BLR,STN-KA-BLR-0016,BSNL,5000.0,Airtel,3,
TOW-00087,12.93746,77.73164,KA-BLR,STN-KA-BLR-0016,Airtel,5000.0,Airtel,3,
TOW-00088,12.96013,77.73481,KA-BLR,STN-KA-BLR-0016,Vi,5000.0,Airtel,3,
TOW-00089,12.95961,77.73432,KA-BLR,STN-KA-BLR-0016,Airtel,5000.0,Airtel,3,
TOW-00090,13.06247,77.44227,KA-BLR,STN-KA-BLR-0017,Airtel,5000.0,Airtel,3,
TOW-00091,13.0408,77.47102,KA-BLR,STN-KA-BLR-0017,Airtel,5000.0,Airtel,3,
TOW-00092,13.05502,77.44887,KA-BLR,STN-KA-BLR-0017,Vi,5000.0,Airtel,3,
TOW-00093,13.06815,77.48757,KA-BLR,STN-KA-BLR-0017,Airtel,5000.0,Airtel,3,
TOW-00094,13.07077,77.50484,KA-BLR,STN-KA-BLR-0017,Jio,5000.0,Airtel,3,
TOW-00095,13.15271,77.49591,KA-BLR,STN-KA-BLR-0018,Airtel,5000.0,Airtel,3,
TOW-00096,13.19644,77.50119,KA-BLR,STN-KA-BLR-0018,Airtel,5000.0,Airtel,3,
TOW-00097,13.20163,77.55358,KA-BLR,STN-KA-BLR-0018,BSNL,5000.0,Airtel,3,
TOW-00098,13.19547,77.47629,KA-BLR,STN-KA-BLR-0018,Jio,5000.0,Airtel,3,
TOW-00099,13.11861,77.61535,KA-BLR,STN-KA-BLR-0019,Airtel,5000.0,Airtel,3,
TOW-00100,13.12139,77.62123,KA-BLR,STN-KA-BLR-0019,BSNL,5000.0,Airtel,3,
TOW-00101,13.09571,77.57174,KA-BLR,STN-KA-BLR-0019,Jio,5000.0,Airtel,3,
TOW-00102,13.10079,77.59429,KA-BLR,STN-KA-BLR-0019,Vi,5000.0,Airtel,3,
TOW-00103,13.0046,77.52633,KA-BLR,STN-KA-BLR-0020,Vi,5000.0,Airtel,3,
TOW-00104,12.93061,77.5814,KA-BLR,STN-KA-BLR-0020,BSNL,5000.0,Airtel,3,
TOW-00105,12.98261,77.54066,KA-BLR,STN-KA-BLR-0020,Airtel,5000.0,Airtel,3,
TOW-00106,12.95347,77.58492,KA-BLR,STN-KA-BLR-0020,BSNL,5000.0,Airtel,3,
TOW-00107,12.95764,77.51093,KA-BLR,STN-KA-BLR-0020,Jio,5000.0,Airtel,3,
TOW-00108,12.93971,77.53859,KA-BLR,STN-KA-BLR-0020,Vi,5000.0,Airtel,3,
TOW-00109,13.04814,77.46042,KA-BLR,STN-KA-BLR-0021,BSNL,5000.0,Airtel,3,
TOW-00110,13.07376,77.42889,KA-BLR,STN-KA-BLR-0021,Vi,5000.0,Airtel,3,
TOW-00111,13.0252,77.44194,KA-BLR,STN-KA-BLR-0021,Vi,5000.0,Airtel,3,
TOW-00112,13.01275,77.44789,KA-BLR,STN-KA-BLR-0021,BSNL,5000.0,Airtel,3,
TOW-00113,13.07024,77.47207,KA-BLR,STN-KA-BLR-0021,Vi,5000.0,Airtel,3,
TOW-00114,12.83145,77.39917,KA-BLR,STN-KA-BLR-0022,Airtel,5000.0,Airtel,3,
TOW-00115,12.87255,77.43316,KA-BLR,STN-KA-BLR-0022,BSNL,5000.0,Airtel,3,
TOW-00116,12.85754,77.41534,KA-BLR,STN-KA-BLR-0022,Vi,5000.0,Airtel,3,
TOW-00117,12.90509,77.41432,KA-BLR,STN-KA-BLR-0022,Jio,5000.0,Airtel,3,
TOW-00118,12.89673,77.39379,KA-BLR,STN-KA-BLR-0022,BSNL,5000.0,Airtel,3,
TOW-00119,12.84437,77.40483,KA-BLR,STN-KA-BLR-0022,Jio,5000.0,Airtel,3,
TOW-00120,12.88327,77.39267,KA-BLR,STN-KA-BLR-0022,BSNL,5000.0,Airtel,3,
TOW-00121,12.91599,77.66192,KA-BLR,STN-KA-BLR-0023,Jio,5000.0,Airtel,3,
TOW-00122,12.91588,77.63387,KA-BLR,STN-KA-BLR-0023,Jio,5000.0,Airtel,3,
TOW-00123,12.88657,77.63835,KA-BLR,STN-KA-BLR-0023,Airtel,5000.0,Airtel,3,
