evidence_id,fir_id,evidence_type,description,collection_date,collection_officer_id,collection_location,condition,is_forensic,forensic_report_id,lab_name,lab_received_date,lab_result,is_recovered_property,estimated_value_inr,tags
EVI-00000000,FIR-BLR2-2021-00001,physical_object,Country-made weapon seized,2021-01-08,OFF-0003496,"Crime scene near lat:14.84016, lng:76.704231",good,false,,,,,false,0.0,physical_object|THEFT|property
EVI-00000001,FIR-RBG-2021-00001,vehicle_tracking,Toll plaza records with vehicle photograph,2021-01-03,OFF-0003710,"Crime scene near lat:15.502059, lng:74.867482",good,false,,,,,false,0.0,vehicle_tracking|VEH_THEFT|property
EVI-00000002,FIR-RBG-2021-00001,recovered_property,Recovered vehicle from accused's possession,2021-01-05,OFF-0003705,"Crime scene near lat:15.502059, lng:74.867482",good,false,,,,,true,1025291.15,recovered_property|VEH_THEFT|property|recovered_property
EVI-00000003,FIR-RBG-2021-00001,cctv_footage,Market CCTV footage retrieved,2021-01-02,OFF-0003711,"Crime scene near lat:15.502059, lng:74.867482",contaminated,false,,,,,false,0.0,cctv_footage|VEH_THEFT|property
EVI-00000004,FIR-KDG-2021-00001,vehicle_tracking,Toll plaza records with vehicle photograph,2021-01-08,OFF-0002419,"Crime scene near lat:12.251543890272771, lng:75.86054617716606",good,false,,,,,false,0.0,vehicle_tracking|VEH_THEFT|property
EVI-00000005,FIR-HBL-2021-00001,cctv_footage,Traffic camera footage of escape route,2021-01-03,OFF-0001241,"Crime scene near lat:15.074705, lng:75.335455",good,false,,,,,false,0.0,cctv_footage|PICK|property
EVI-00000006,FIR-HBL-2021-00001,witness_statement,Statement of shop keeper recorded,2021-01-07,OFF-0001240,"Crime scene near lat:15.074705, lng:75.335455",good,false,,,,,false,0.0,witness_statement|PICK|property
EVI-00000007,FIR-HBL-2021-00001,physical_object,Seized iron rod used as weapon,2021-01-03,OFF-0001234,"Crime scene near lat:15.074705, lng:75.335455",partial,false,,,,,false,0.0,physical_object|PICK|property
EVI-00000008,FIR-KLP-2021-00001,forensic_report,Tool mark examination report,2021-01-05,OFF-0001600,"Crime scene near lat:17.707723332412264, lng:77.04009735860626",good,true,FSL-0000009,KFSL Bengaluru,2021-01-06,Fingerprint matched with accused,false,0.0,forensic_report|ASSAULT|violent
EVI-00000009,FIR-RBG-2021-00002,witness_statement,Statement of shop keeper recorded,2021-01-04,OFF-0003736,"Crime scene near lat:15.519674, lng:75.000707",good,false,,,,,false,0.0,witness_statement|PICK|property
EVI-00000010,FIR-BLR-2021-00001,call_records,Call records linking accused to other suspects,2021-01-08,OFF-0000288,"Crime scene near lat:13.105719746146809, lng:77.61062841185209",partial,false,,,,,false,0.0,call_records|CYBER|cyber
EVI-00000011,FIR-BLR-2021-00001,bank_records,Hawala transaction records,2021-01-05,OFF-0000289,"Crime scene near lat:13.105719746146809, lng:77.61062841185209",good,false,,,,,false,0.0,bank_records|CYBER|cyber
EVI-00000012,FIR-BLR-2021-00001,digital_evidence,Mobile phone seized containing incriminating photos,2021-01-09,OFF-0000286,"Crime scene near lat:13.105719746146809, lng:77.61062841185209",good,false,,,,,false,0.0,digital_evidence|CYBER|cyber
EVI-00000013,FIR-BLG-2021-00001,cctv_footage,Hotel CCTV showing accused check-in,2021-01-12,OFF-0001388,"Crime scene near lat:15.862278, lng:74.72296",partial,false,,,,,false,0.0,cctv_footage|TRESPASS|property
EVI-00000014,FIR-BLG-2021-00001,witness_statement,Voluntary statement of witness given,2021-01-12,OFF-0001396,"Crime scene near lat:15.862278, lng:74.72296",partial,false,,,,,false,0.0,witness_statement|TRESPASS|property
EVI-00000015,FIR-BLG-2021-00001,physical_object,Recovered stolen gold jewellery,2021-01-08,OFF-0001388,"Crime scene near lat:15.862278, lng:74.72296",good,false,,,,,false,0.0,physical_object|TRESPASS|property
EVI-00000016,FIR-BLR-2021-00002,witness_statement,Statement of eye witness recorded under Sec 161 CrPC,2021-01-08,OFF-0000513,"Crime scene near lat:12.89404, lng:77.616739",partial,false,,,,,false,0.0,witness_statement|HIT_RUN|traffic
EVI-00000017,FIR-BLR-2021-00002,physical_object,Country-made weapon seized,2021-01-07,OFF-0000510,"Crime scene near lat:12.89404, lng:77.616739",good,false,,,,,false,0.0,physical_object|HIT_RUN|traffic
EVI-00000018,FIR-BLR-2021-00002,cctv_footage,Market CCTV footage retrieved,2021-01-10,OFF-0000512,"Crime scene near lat:12.89404, lng:77.616739",good,false,,,,,false,0.0,cctv_footage|HIT_RUN|traffic
EVI-00000019,FIR-HBL-2021-00002,physical_object,Recovered stolen gold jewellery,2021-01-07,OFF-0001251,"Crime scene near lat:15.206845, lng:75.117467",partial,false,,,,,false,0.0,physical_object|THEFT|property
EVI-00000020,FIR-HBL-2021-00002,fingerprints,Latent fingerprints developed using powder technique,2021-01-11,OFF-0001253,"Crime scene near lat:15.206845, lng:75.117467",good,true,FSL-0000021,KFSL Mysuru,2021-01-15,Fingerprint matched with accused,false,0.0,fingerprints|THEFT|property
EVI-00000021,FIR-HBL-2021-00002,witness_statement,Neighbour's statement recorded,2021-01-07,OFF-0001252,"Crime scene near lat:15.206845, lng:75.117467",partial,false,,,,,false,0.0,witness_statement|THEFT|property
EVI-00000022,FIR-KLP-2021-00002,cctv_footage,Market CCTV footage retrieved,2021-01-11,OFF-0001659,"Crime scene near lat:17.412594132493176, lng:76.78249859302292",good,false,,,,,false,0.0,cctv_footage|CHAIN|property
EVI-00000023,FIR-KLP-2021-00002,vehicle_tracking,GPS tracker data from accused vehicle,2021-01-07,OFF-0001653,"Crime scene near lat:17.412594132493176, lng:76.78249859302292",partial,false,,,,,false,0.0,vehicle_tracking|CHAIN|property
EVI-00000024,FIR-MGL-2021-00001,cctv_footage,Hotel CCTV showing accused check-in,2021-01-06,OFF-0000926,"Crime scene near lat:12.624546, lng:75.232829",good,false,,,,,false,0.0,cctv_footage|ATTEMPT_M|violent
EVI-00000025,FIR-CHB-2021-00001,vehicle_tracking,Toll plaza records with vehicle photograph,2021-01-08,OFF-0002911,"Crime scene near lat:13.695954, lng:77.668479",damaged,false,,,,,false,0.0,vehicle_tracking|CHAIN|property
EVI-00000026,FIR-CHB-2021-00001,cctv_footage,Hotel CCTV showing accused check-in,2021-01-06,OFF-0002911,"Crime scene near lat:13.695954, lng:77.668479",damaged,false,,,,,false,0.0,cctv_footage|CHAIN|property
EVI-00000027,FIR-BLR2-2021-00002,forensic_report,Chemical analysis of seized narcotic,2021-01-10,OFF-0003550,"Crime scene near lat:15.229711, lng:77.020182",damaged,true,FSL-0000028,Regional Forensic Lab Mangaluru,2021-01-13,No match found,false,0.0,forensic_report|ASSAULT|violent
EVI-00000028,FIR-BLR2-2021-00002,witness_statement,Statement of auto driver who saw accused,2021-01-07,OFF-0003555,"Crime scene near lat:15.229711, lng:77.020182",good,false,,,,,false,0.0,witness_statement|ASSAULT|violent
EVI-00000029,FIR-BLR2-2021-00002,dna_sample,Hair sample collected from crime scene,2021-01-14,OFF-0003551,"Crime scene near lat:15.229711, lng:77.020182",damaged,true,FSL-0000030,KFSL Hubballi,2021-01-25,DNA matches accused profile,false,0.0,dna_sample|ASSAULT|violent
EVI-00000030,FIR-UDR-2021-00001,physical_object,Stolen two-wheeler recovered,2021-01-06,OFF-0002468,"Crime scene near lat:13.075667830198768, lng:75.0088532489438",damaged,false,,,,,false,0.0,physical_object|THEFT|property
EVI-00000031,FIR-UDR-2021-00001,cctv_footage,Traffic camera footage of escape route,2021-01-05,OFF-0002469,"Crime scene near lat:13.075667830198768, lng:75.0088532489438",good,false,,,,,false,0.0,cctv_footage|THEFT|property
EVI-00000032,FIR-BLR-2021-00003,fingerprints,Fingerprints lifted from crime scene matched with accused,2021-01-11,OFF-0000415,"Crime scene near lat:12.887462, lng:77.615575",damaged,true,FSL-0000033,KFSL Bengaluru,2021-01-17,Inconclusive,false,0.0,fingerprints|THEFT|property
EVI-00000033,FIR-BLR-2021-00003,witness_statement,Voluntary statement of witness given,2021-01-11,OFF-0000416,"Crime scene near lat:12.887462, lng:77.615575",good,false,,,,,false,0.0,witness_statement|THEFT|property
EVI-00000034,FIR-BLR-2021-00003,physical_object,Stolen mobile phone recovered from accused,2021-01-13,OFF-0000416,"Crime scene near lat:12.887462, lng:77.615575",good,false,,,,,false,0.0,physical_object|THEFT|property
EVI-00000035,FIR-BLR-2021-00003,cctv_footage,Market CCTV footage retrieved,2021-01-13,OFF-0000422,"Crime scene near lat:12.887462, lng:77.615575",good,false,,,,,false,0.0,cctv_footage|THEFT|property
EVI-00000036,FIR-BLR2-2021-00003,cctv_footage,Traffic camera footage of escape route,2021-01-14,OFF-0003588,"Crime scene near lat:14.828812, lng:76.647768",good,false,,,,,false,0.0,cctv_footage|DRUNK_DRV|traffic
EVI-00000037,FIR-BLR2-2021-00003,witness_statement,Statement of eye witness recorded under Sec 161 CrPC,2021-01-10,OFF-0003584,"Crime scene near lat:14.828812, lng:76.647768",good,false,,,,,false,0.0,witness_statement|DRUNK_DRV|traffic
EVI-00000038,FIR-BLR2-2021-00003,physical_object,Stolen two-wheeler recovered,2021-01-12,OFF-0003580,"Crime scene near lat:14.828812, lng:76.647768",good,false,,,,,false,0.0,physical_object|DRUNK_DRV|traffic
EVI-00000039,FIR-BLR-2021-00004,witness_statement,Voluntary statement of witness given,2021-01-10,OFF-0000031,"Crime scene near lat:12.928358, lng:77.726869",good,false,,,,,false,0.0,witness_statement|CHAIN|property
EVI-00000040,FIR-BLR-2021-00004,cctv_footage,Traffic camera footage of escape route,2021-01-11,OFF-0000034,"Crime scene near lat:12.928358, lng:77.726869",good,false,,,,,false,0.0,cctv_footage|CHAIN|property
EVI-00000041,FIR-DVG-2021-00001,cctv_footage,Traffic camera footage of escape route,2021-01-15,OFF-0001762,"Crime scene near lat:14.341067, lng:75.87889",partial,false,,,,,false,0.0,cctv_footage|CHAIN|property
EVI-00000042,FIR-DVG-2021-00001,vehicle_tracking,Toll plaza records with vehicle photograph,2021-01-16,OFF-0001762,"Crime scene near lat:14.341067, lng:75.87889",damaged,false,,,,,false,0.0,vehicle_tracking|CHAIN|property
EVI-00000043,FIR-BLR-2021-00005,call_records,CDR of accused mobile obtained from service provider,2021-01-10,OFF-0000033,"Crime scene near lat:12.94197, lng:77.749119",good,false,,,,,false,0.0,call_records|CYBER|cyber
EVI-00000044,FIR-CHB-2021-00002,cctv_footage,Shop CCTV footage showing accused vehicle,2021-01-16,OFF-0002911,"Crime scene near lat:13.702308, lng:77.681728",good,false,,,,,false,0.0,cctv_footage|ROBBERY|property
EVI-00000045,FIR-CHB-2021-00002,witness_statement,Voluntary statement of witness given,2021-01-15,OFF-0002914,"Crime scene near lat:13.702308, lng:77.681728",good,false,,,,,false,0.0,witness_statement|ROBBERY|property
EVI-00000046,FIR-KLP-2021-00003,witness_statement,Neighbour's statement recorded,2021-01-11,OFF-0001607,"Crime scene near lat:17.304255, lng:76.960606",good,false,,,,,false,0.0,witness_statement|DRUNK_DRV|traffic
EVI-00000047,FIR-KLP-2021-00003,physical_object,Recovered stolen gold jewellery,2021-01-09,OFF-0001608,"Crime scene near lat:17.304255, lng:76.960606",damaged,false,,,,,false,0.0,physical_object|DRUNK_DRV|traffic
EVI-00000048,FIR-BLR-2021-00006,physical_object,Seized iron rod used as weapon,2021-01-08,OFF-0000407,"Crime scene near lat:13.14941, lng:77.411445",good,false,,,,,false,0.0,physical_object|PICK|property
EVI-00000049,FIR-RBG-2021-00003,witness_statement,Statement of auto driver who saw accused,2021-01-13,OFF-0003683,"Crime scene near lat:15.300212, lng:74.896396",good,false,,,,,false,0.0,witness_statement|THEFT|property
EVI-00000050,FIR-RBG-2021-00003,physical_object,Stolen mobile phone recovered from accused,2021-01-13,OFF-0003685,"Crime scene near lat:15.300212, lng:74.896396",damaged,false,,,,,false,0.0,physical_object|THEFT|property
EVI-00000051,FIR-RBG-2021-00003,fingerprints,Latent fingerprints developed using powder technique,2021-01-11,OFF-0003683,"Crime scene near lat:15.300212, lng:74.896396",contaminated,true,FSL-0000052,KFSL Bengaluru,2021-01-13,DNA matches accused profile,false,0.0,fingerprints|THEFT|property
EVI-00000052,FIR-RBG-2021-00003,cctv_footage,Shop CCTV footage showing accused vehicle,2021-01-16,OFF-0003687,"Crime scene near lat:15.300212, lng:74.896396",partial,false,,,,,false,0.0,cctv_footage|THEFT|property
EVI-00000053,FIR-DVG-2021-00002,vehicle_tracking,GPS tracker data from accused vehicle,2021-01-13,OFF-0001745,"Crime scene near lat:14.309368, lng:75.88469",good,false,,,,,false,0.0,vehicle_tracking|CHAIN|property
EVI-00000054,FIR-BLG-2021-00002,physical_object,Recovered stolen gold jewellery,2021-01-13,OFF-0001335,"Crime scene near lat:16.380951, lng:74.98921",good,false,,,,,false,0.0,physical_object|NARCOTICS|narcotics
EVI-00000055,FIR-MGL-2021-00002,fingerprints,Palm print lifted from window sill,2021-01-15,OFF-0001014,"Crime scene near lat:12.882873, lng:75.462613",partial,true,FSL-0000056,District Forensic Lab,2021-01-28,Inconclusive,false,0.0,fingerprints|THEFT|property
EVI-00000056,FIR-MGL-2021-00002,witness_statement,Statement of shop keeper recorded,2021-01-10,OFF-0001014,"Crime scene near lat:12.882873, lng:75.462613",good,false,,,,,false,0.0,witness_statement|THEFT|property
EVI-00000057,FIR-MGL-2021-00002,physical_object,Country-made weapon seized,2021-01-09,OFF-0001015,"Crime scene near lat:12.882873, lng:75.462613",good,false,,,,,false,0.0,physical_object|THEFT|property
EVI-00000058,FIR-MGL-2021-00003,physical_object,Recovered stolen gold jewellery,2021-01-16,OFF-0000858,"Crime scene near lat:12.626024, lng:74.870005",good,false,,,,,false,0.0,physical_object|THEFT|property
EVI-00000059,FIR-MGL-2021-00003,cctv_footage,Traffic camera footage of escape route,2021-01-16,OFF-0000851,"Crime scene near lat:12.626024, lng:74.870005",good,false,,,,,false,0.0,cctv_footage|THEFT|property
EVI-00000060,FIR-HBL-2021-00003,witness_statement,Statement of auto driver who saw accused,2021-01-13,OFF-0001138,"Crime scene near lat:15.129974, lng:74.925772",good,false,,,,,false,0.0,witness_statement|CHAIN|property
EVI-00000061,FIR-BLR-2021-00007,fingerprints,Latent fingerprints developed using powder technique,2021-01-10,OFF-0000003,"Crime scene near lat:13.123072, lng:77.455366",good,true,FSL-0000062,District Forensic Lab,2021-01-23,No match found,false,0.0,fingerprints|THEFT|property
EVI-00000062,FIR-RBG-2021-00004,cctv_footage,Traffic camera footage of escape route,2021-01-13,OFF-0003799,"Crime scene near lat:15.297456, lng:74.951338",good,false,,,,,false,0.0,cctv_footage|BURGLARY|property
EVI-00000063,FIR-HBL-2021-00004,bank_records,Hawala transaction records,2021-01-11,OFF-0001113,"Crime scene near lat:15.299682936901446, lng:75.07867901129501",good,false,,,,,false,0.0,bank_records|FRAUD|fraud
EVI-00000064,FIR-HBL-2021-00004,call_records,Tower location data obtained for accused phone,2021-01-17,OFF-0001111,"Crime scene near lat:15.299682936901446, lng:75.07867901129501",contaminated,false,,,,,false,0.0,call_records|FRAUD|fraud
EVI-00000065,FIR-HBL-2021-00004,digital_evidence,Memory card with crime-related content,2021-01-18,OFF-0001110,"Crime scene near lat:15.299682936901446, lng:75.07867901129501",contaminated,false,,,,,false,0.0,digital_evidence|FRAUD|fraud
