crime_event_id,criminal_id,entry_method,time_slot,target_type,escape_vehicle,weapon,stolen_property,num_offenders,operates_at_night,is_solo,uses_vehicle_escape,is_violent
EVT-79054125,,rear_entry,early_morning_0400_0600,vehicle_parked,motorcycle,none,cash,3,False,False,True,False
EVT-36199453,CRM-0000064,window_entry,morning_0600_0900,street,public_bus,bare_hands,laptop,3,True,False,True,False
EVT-72519634,,window_entry,mid_morning_0900_1200,bus_stand,bicycle,firearm,vehicle,4,True,False,True,True
EVT-22348659,,social_engineering,morning_0600_0900,residential_house,unknown,acid,electronics,3,True,False,False,True
EVT-95467258,,tunneling,night_1900_2200,temple,car,iron_rod,electronics,2,True,False,True,True
EVT-13632273,CRM-0000101,open_access,night_1900_2200,apartment,bicycle,none,laptop,3,False,False,True,False
EVT-16220316,CRM-0000122,fake_delivery,night_1900_2200,apartment,bicycle,none,none,1,False,True,True,False
EVT-95241666,CRM-0000183,digital_access,late_night_2200_0400,street,auto_rickshaw,none,mixed_valuables,1,True,True,True,False
EVT-78626615,CRM-0000123,open_access,morning_0600_0900,residential,on_foot,iron_rod,cash,1,False,True,False,True
EVT-69661191,CRM-0000102,fake_delivery,evening_1600_1900,bank,motorcycle,none,gold_jewellery,2,False,False,True,False
EVT-72453346,CRM-0000040,fake_delivery,morning_0600_0900,bank,auto_rickshaw,firearm,livestock,1,False,True,True,True
EVT-46566279,,front_door,early_morning_0400_0600,hospital,on_foot,bare_hands,vehicle,3,False,False,False,False
EVT-CAMP-94950143,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-70033758,,open_access,morning_0600_0900,vehicle_parked,unknown,iron_rod,documents,2,False,False,False,True
EVT-58091339,CRM-0000035,open_access,night_1900_2200,commercial,on_foot,knife,mobile_phone,1,True,True,False,True
EVT-CAMP-28791826,CRM-0000141,digital_access,afternoon_1200_1600,temple,auto_rickshaw,none,mobile_phone,3,False,False,True,False
EVT-12420158,CRM-0000006,front_door,early_morning_0400_0600,hospital,public_bus,none,laptop,1,True,True,True,False
EVT-19061540,CRM-0000061,social_engineering,night_1900_2200,hospital,on_foot,knife,none,4,True,False,False,True
EVT-CAMP-17445913,CRM-0000141,roof_entry,afternoon_1200_1600,residential_house,unknown,none,electronics,3,False,False,False,False
EVT-46362817,,social_engineering,mid_morning_0900_1200,apartment,unknown,iron_rod,documents,1,True,True,False,True
EVT-04496433,CRM-0000107,open_access,evening_1600_1900,railway_station,public_transit,none,gold_jewellery,1,False,True,True,False
EVT-CAMP-77626919,CRM-0000141,roof_entry,afternoon_1200_1600,residential_house,unknown,firearm,electronics,3,False,False,False,True
EVT-41947385,CRM-0000194,digital_access,afternoon_1200_1600,shop,bicycle,country_bomb,livestock,2,True,False,True,True
EVT-38064699,CRM-0000190,fake_delivery,early_morning_0400_0600,vehicle_parked,car,iron_rod,vehicle,2,True,False,True,True
EVT-CAMP-83493667,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-54430904,CRM-0000223,fake_police,morning_0600_0900,residential_house,unknown,none,mixed_valuables,4,False,False,False,False
EVT-20286650,CRM-0000227,open_access,night_1900_2200,street,public_bus,none,laptop,2,False,False,True,False
EVT-CAMP-83432955,CRM-0000141,window_entry,evening_1600_1900,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-CAMP-45779130,CRM-0000206,social_engineering,late_night_2200_0400,atm,car,firearm,documents,1,False,True,True,True
EVT-64797669,,forced_entry,late_night_2200_0400,bus_stand,public_bus,knife,gold_jewellery,1,False,True,True,True
EVT-CAMP-75868880,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,stone,electronics,3,False,False,False,True
EVT-CAMP-77830527,CRM-0000206,social_engineering,night_1900_2200,atm,car,none,gold_jewellery,5,True,False,True,False
EVT-72088039,CRM-0000156,digital_access,evening_1600_1900,street,bicycle,none,vehicle,1,False,True,True,False
EVT-CAMP-23523275,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-12637156,,window_entry,night_1900_2200,temple,public_bus,country_bomb,mobile_phone,1,False,True,True,True
EVT-40288851,,front_door,afternoon_1200_1600,temple,on_foot,stone,documents,1,False,True,False,True
EVT-CAMP-74322404,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-97529033,CRM-0000074,open_access,mid_morning_0900_1200,school,public_bus,rope,gold_jewellery,1,False,True,True,True
EVT-05324214,CRM-0000141,social_engineering,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-CAMP-15682487,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,knife,electronics,3,False,False,False,True
EVT-CAMP-04327298,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,2,False,False,True,False
EVT-49506916,,rear_entry,late_night_2200_0400,apartment,motorcycle,acid,laptop,2,False,False,True,True
EVT-43228177,CRM-0000190,social_engineering,late_night_2200_0400,vehicle_parked,public_bus,iron_rod,vehicle,2,False,False,True,True
EVT-40332651,CRM-0000021,open_access,early_morning_0400_0600,bus_stand,motorcycle,firearm,none,4,True,False,True,True
EVT-65051649,CRM-0000069,fake_delivery,mid_morning_0900_1200,railway_station,motorcycle,none,none,2,False,False,True,False
EVT-CAMP-55059297,CRM-0000141,roof_entry,mid_morning_0900_1200,bus_stand,unknown,none,documents,3,False,False,False,False
EVT-CAMP-83685330,CRM-0000206,social_engineering,morning_0600_0900,atm,car,none,documents,1,False,True,True,False
EVT-28878899,CRM-0000151,tunneling,late_night_2200_0400,temple,scooter,stone,gold_jewellery,2,True,False,True,True
EVT-56527387,,rear_entry,mid_morning_0900_1200,atm,auto_rickshaw,bare_hands,livestock,3,False,False,True,False
EVT-83923162,CRM-0000236,forced_entry,evening_1600_1900,apartment,bicycle,rope,vehicle,3,False,False,True,True
EVT-91455567,CRM-0000050,fake_delivery,evening_1600_1900,school,auto_rickshaw,none,laptop,4,False,False,True,False
EVT-CAMP-75126460,CRM-0000141,roof_entry,afternoon_1200_1600,street,unknown,none,electronics,5,False,False,False,False
EVT-36955064,,open_access,morning_0600_0900,bus_stand,public_bus,acid,mixed_valuables,5,False,False,True,True
EVT-00960005,CRM-0000070,forced_entry,late_night_2200_0400,temple,bicycle,none,laptop,2,True,False,True,False
EVT-66562652,CRM-0000237,rear_entry,mid_morning_0900_1200,railway_station,motorcycle,iron_rod,laptop,1,True,True,True,True
EVT-04274281,,forced_entry,night_1900_2200,apartment,motorcycle,firearm,mixed_valuables,5,True,False,True,True
EVT-51294125,CRM-0000109,front_door,early_morning_0400_0600,market,auto_rickshaw,iron_rod,cash,5,True,False,True,True
EVT-05771009,CRM-0000082,fake_police,night_1900_2200,atm,auto_rickshaw,none,livestock,2,True,False,True,False
EVT-69454019,,open_access,morning_0600_0900,school,auto_rickshaw,country_bomb,mixed_valuables,4,True,False,True,True
EVT-60889156,,open_access,early_morning_0400_0600,street,unknown,bare_hands,mixed_valuables,3,True,False,False,False
EVT-CAMP-87513613,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,none,3,False,False,False,False
EVT-68964216,CRM-0000202,roof_entry,late_night_2200_0400,temple,unknown,firearm,cash,2,True,False,False,True
EVT-12522611,CRM-0000099,social_engineering,late_night_2200_0400,school,auto_rickshaw,none,electronics,5,True,False,True,False
EVT-17027682,,forced_entry,evening_1600_1900,residential_house,on_foot,acid,cash,4,False,False,False,True
EVT-77442526,CRM-0000132,digital_access,early_morning_0400_0600,bank,on_foot,none,mixed_valuables,2,True,False,False,False
EVT-45111404,,rear_entry,night_1900_2200,hospital,bicycle,none,electronics,3,True,False,True,False
EVT-98334044,CRM-0000063,forced_entry,night_1900_2200,atm,car,none,electronics,1,False,True,True,False
EVT-86823777,,rear_entry,morning_0600_0900,railway_station,public_bus,rope,documents,1,False,True,True,True
EVT-76981855,CRM-0000118,tunneling,late_night_2200_0400,residential_house,motorcycle,knife,mobile_phone,3,True,False,True,True
EVT-CAMP-27873246,CRM-0000141,roof_entry,afternoon_1200_1600,street,unknown,none,electronics,3,False,False,False,False
EVT-26137314,,fake_police,early_morning_0400_0600,vehicle_parked,auto_rickshaw,firearm,none,1,False,True,True,True
EVT-86356285,CRM-0000172,social_engineering,night_1900_2200,vehicle_parked,motorcycle,bare_hands,electronics,1,True,True,True,False
EVT-CAMP-53836476,CRM-0000064,window_entry,morning_0600_0900,temple,public_bus,bare_hands,laptop,3,False,False,True,False
EVT-02801740,CRM-0000051,digital_access,morning_0600_0900,street,public_bus,iron_rod,vehicle,1,False,True,True,True
EVT-10359409,CRM-0000110,digital_access,early_morning_0400_0600,commercial,motorcycle,iron_rod,documents,4,True,False,True,True
EVT-CAMP-92654072,CRM-0000064,window_entry,mid_morning_0900_1200,street,public_bus,bare_hands,laptop,3,False,False,True,False
EVT-10448310,CRM-0000142,roof_entry,early_morning_0400_0600,street,auto_rickshaw,firearm,vehicle,2,True,False,True,True
EVT-03173910,,fake_delivery,night_1900_2200,street,motorcycle,stone,livestock,4,True,False,True,True
EVT-79198114,,tunneling,afternoon_1200_1600,apartment,bicycle,country_bomb,livestock,3,False,False,True,True
EVT-66202997,,rear_entry,evening_1600_1900,hospital,motorcycle,firearm,mobile_phone,1,True,True,True,True
EVT-28932934,CRM-0000236,roof_entry,evening_1600_1900,railway_station,bicycle,none,vehicle,3,False,False,True,False
EVT-CAMP-60052796,CRM-0000064,tunneling,morning_0600_0900,street,motorcycle,bare_hands,gold_jewellery,2,False,False,True,False
EVT-25266051,CRM-0000004,fake_delivery,early_morning_0400_0600,apartment,on_foot,none,gold_jewellery,1,False,True,False,False
EVT-72516184,CRM-0000142,roof_entry,early_morning_0400_0600,vehicle_parked,unknown,firearm,vehicle,2,True,False,False,True
EVT-CAMP-39520077,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-CAMP-67203318,CRM-0000064,window_entry,morning_0600_0900,street,auto_rickshaw,bare_hands,electronics,3,False,False,True,False
EVT-CAMP-89791852,CRM-0000064,window_entry,late_night_2200_0400,street,public_bus,bare_hands,laptop,3,False,False,True,False
