:ID,:LABEL,crime_type,district_id,estimated_loss,fir_number,lat,lng,occurred_date,severity,status
FIR-BDR-2021-00001,FIR,RIOTING,KA-BDR,138007.93,KA/BDR/2021/00001,17.841608,77.106596,2021-01-01,4,Under Investigation
FIR-HBL-2021-00001,FIR,DRUNK_DRV,KA-HBL,415.16,KA/HBL/2021/00001,15.528481,75.10593,2021-01-01,2,Under Investigation
FIR-KLP-2021-00001,FIR,THEFT,KA-KLP,16176.11,KA/KLP/2021/00001,17.212564,77.166243,2021-01-02,2,Under Investigation
FIR-RBG-2021-00001,FIR,ASSAULT,KA-RBG,12690.35,KA/RBG/2021/00001,15.258722,75.055459,2021-01-02,3,Under Investigation
FIR-YDG-2021-00001,FIR,ATTEMPT_M,KA-YDG,0.0,KA/YDG/2021/00001,16.48361297197258,77.15763354364479,2021-01-02,5,Charge Sheet Filed
FIR-BLR-2021-00001,FIR,ATM_FRAUD,KA-BLR,82211.38,KA/BLR/2021/00001,13.010202,77.791007,2021-01-03,3,Closed (Undetected)
FIR-BLR-2021-00002,FIR,FRAUD,KA-BLR,8132554.03,KA/BLR/2021/00002,12.835097,77.572721,2021-01-03,3,Charge Sheet Filed
FIR-CHB-2021-00001,FIR,ASSAULT,KA-CHB,4206.94,KA/CHB/2021/00001,13.684392,77.685299,2021-01-03,3,Closed (Undetected)
FIR-RBG-2021-00002,FIR,HIT_RUN,KA-RBG,12445.37,KA/RBG/2021/00002,15.333746,74.797921,2021-01-04,4,Closed (Undetected)
FIR-MGL-2021-00001,FIR,ATM_FRAUD,KA-MGL,7269.07,KA/MGL/2021/00001,12.774905458719184,74.97427547074061,2021-01-04,3,Under Investigation
FIR-BLR-2021-00003,FIR,CHAIN,KA-BLR,60543.15,KA/BLR/2021/00003,13.289895,77.643895,2021-01-05,3,Charge Sheet Filed
FIR-BLR-2021-00004,FIR,HIT_RUN,KA-BLR,3452.53,KA/BLR/2021/00004,13.04107,77.82015,2021-01-05,4,Final Report
FIR-TKR-2021-00001,FIR,VEH_THEFT,KA-TKR,520560.92,KA/TKR/2021/00001,13.620693,76.892605,2021-01-06,2,Charge Sheet Filed
FIR-KLP-2021-00002,FIR,BURGLARY,KA-KLP,177815.91,KA/KLP/2021/00002,17.538251,77.14743,2021-01-06,3,Closed (Undetected)
FIR-RBG-2021-00003,FIR,CHAIN,KA-RBG,236340.01,KA/RBG/2021/00003,15.559834,75.193014,2021-01-07,3,Under Investigation
FIR-BLR2-2021-00001,FIR,BURGLARY,KA-BLR2,33679.75,KA/BLR2/2021/00001,15.44607429755294,77.00494722213955,2021-01-07,3,Under Investigation
FIR-KLR-2021-00001,FIR,BURGLARY,KA-KLR,464014.61,KA/KLR/2021/00001,13.049035,78.252447,2021-01-08,3,Final Report
FIR-MGL-2021-00002,FIR,VEH_THEFT,KA-MGL,1341522.22,KA/MGL/2021/00002,12.741017,74.980316,2021-01-08,2,Under Investigation
FIR-BLR-2021-00005,FIR,THEFT,KA-BLR,6447.76,KA/BLR/2021/00005,12.920931,77.68497,2021-01-09,2,Charge Sheet Filed
FIR-BLR-2021-00006,FIR,THEFT,KA-BLR,45257.96,KA/BLR/2021/00006,12.959034,77.71917,2021-01-09,2,Charge Sheet Filed
FIR-MGL-2021-00003,FIR,ASSAULT,KA-MGL,20152.45,KA/MGL/2021/00003,12.318741,75.00516,2021-01-09,3,Charge Sheet Filed
FIR-BLR2-2021-00002,FIR,TRESPASS,KA-BLR2,699.29,KA/BLR2/2021/00002,15.033217,76.35768,2021-01-10,2,Closed (Undetected)
FIR-BLR-2021-00007,FIR,CHAIN,KA-BLR,101725.52,KA/BLR/2021/00007,13.080034123455059,77.65522402456453,2021-01-10,3,Charge Sheet Filed
FIR-BLR-2021-00008,FIR,PICK,KA-BLR,1880.94,KA/BLR/2021/00008,12.813722,77.499899,2021-01-10,1,Charge Sheet Filed
FIR-BLR-2021-00009,FIR,CYBER,KA-BLR,3071679.31,KA/BLR/2021/00009,12.91863,77.586454,2021-01-11,3,Charge Sheet Filed
FIR-KLP-2021-00003,FIR,FRAUD,KA-KLP,2198523.91,KA/KLP/2021/00003,17.541201,76.987968,2021-01-11,3,Under Investigation
FIR-MGL-2021-00004,FIR,FRAUD,KA-MGL,9867878.51,KA/MGL/2021/00004,12.885421,75.435503,2021-01-12,3,Under Investigation
FIR-VKT-2021-00001,FIR,VEH_THEFT,KA-VKT,555228.36,KA/VKT/2021/00001,14.852667992038294,76.01345823512966,2021-01-12,2,Under Investigation
FIR-MYS-2021-00001,FIR,PICK,KA-MYS,444.02,KA/MYS/2021/00001,12.459046,76.475271,2021-01-13,1,Closed (Undetected)
FIR-MGL-2021-00005,FIR,KIDNAP,KA-MGL,487354.15,KA/MGL/2021/00005,13.039592,75.515096,2021-01-13,5,Under Investigation
FIR-BLR-2021-00010,FIR,THEFT,KA-BLR,45850.85,KA/BLR/2021/00010,13.150005,77.803285,2021-01-14,2,Transferred
FIR-BLG-2021-00001,FIR,CHAIN,KA-BLG,252285.39,KA/BLG/2021/00001,16.050788,74.63307,2021-01-14,3,Charge Sheet Filed
