:START_ID,:END_ID,:TYPE,is_gang_crime,weight
CRM-0000074,GANG-0000,LEADS,,1.0
CRM-0000127,GANG-0000,MEMBER_OF,,1.0
CRM-0000234,GANG-0000,MEMBER_OF,,1.0
CRM-0000118,GANG-0000,MEMBER_OF,,1.0
CRM-0000141,GANG-0000,MEMBER_OF,,1.0
CRM-0000055,GANG-0000,MEMBER_OF,,1.0
CRM-0000199,GANG-0000,MEMBER_OF,,1.0
CRM-0000241,GANG-0000,MEMBER_OF,,1.0
CRM-0000101,GANG-0000,MEMBER_OF,,1.0
CRM-0000243,GANG-0000,MEMBER_OF,,1.0
CRM-0000228,GANG-0000,MEMBER_OF,,1.0
CRM-0000133,GANG-0000,MEMBER_OF,,1.0
CRM-0000167,GANG-0000,MEMBER_OF,,1.0
GANG-0000,KA-UDR,OPERATES_IN,,1.0
GANG-0000,KA-MDY,OPERATES_IN,,1.0
CRM-0000235,GANG-0001,LEADS,,1.0
CRM-0000073,GANG-0001,MEMBER_OF,,1.0
CRM-0000011,GANG-0001,MEMBER_OF,,1.0
GANG-0001,KA-KLP,OPERATES_IN,,1.0
GANG-0001,KA-TKR,OPERATES_IN,,1.0
CRM-0000180,GANG-0002,LEADS,,1.0
CRM-0000144,GANG-0002,MEMBER_OF,,1.0
CRM-0000092,GANG-0002,MEMBER_OF,,1.0
CRM-0000081,GANG-0002,MEMBER_OF,,1.0
CRM-0000023,GANG-0002,MEMBER_OF,,1.0
CRM-0000154,GANG-0002,MEMBER_OF,,1.0
CRM-0000205,GANG-0002,MEMBER_OF,,1.0
CRM-0000188,GANG-0002,MEMBER_OF,,1.0
CRM-0000046,GANG-0002,MEMBER_OF,,1.0
CRM-0000111,GANG-0002,MEMBER_OF,,1.0
GANG-0002,KA-HBL,OPERATES_IN,,1.0
GANG-0002,KA-HSN,OPERATES_IN,,1.0
GANG-0002,KA-BDR,OPERATES_IN,,1.0
GANG-0002,KA-MDY,OPERATES_IN,,1.0
CRM-0000006,GANG-0003,LEADS,,1.0
CRM-0000014,GANG-0003,MEMBER_OF,,1.0
CRM-0000065,GANG-0003,MEMBER_OF,,1.0
CRM-0000158,GANG-0003,MEMBER_OF,,1.0
CRM-0000143,GANG-0003,MEMBER_OF,,1.0
CRM-0000191,GANG-0003,MEMBER_OF,,1.0
CRM-0000071,GANG-0003,MEMBER_OF,,1.0
