poi_id,name,poi_type,latitude,longitude,station_id,district_id,address,category,geometry,risk_factor,opening_hours,footfall_score
POI-000000,Liquor Store - Bengaluru North  PS Area,Liquor Store,13.14118,77.42216,STN-KA-BLR-0000,KA-BLR,"Near Bengaluru North  PS, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000001,Liquor Store - Bengaluru North  PS Area,Liquor Store,13.14266,77.46481,STN-KA-BLR-0000,KA-BLR,"Near Bengaluru North  PS, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000002,ATM - Bengaluru North  PS Area,ATM,13.11555,77.42543,STN-KA-BLR-0000,KA-BLR,"Near Bengaluru North  PS, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000003,ATM - Bengaluru North  PS Area,ATM,13.12063,77.44834,STN-KA-BLR-0000,KA-BLR,"Near Bengaluru North  PS, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000004,Liquor Store - Bengaluru North  PS Area,Liquor Store,13.11919,77.46843,STN-KA-BLR-0000,KA-BLR,"Near Bengaluru North  PS, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000005,Market - Bengaluru North  PS Area,Market,13.10655,77.47266,STN-KA-BLR-0000,KA-BLR,"Near Bengaluru North  PS, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000006,Market - Bengaluru North  PS Area,Market,13.12375,77.43707,STN-KA-BLR-0000,KA-BLR,"Near Bengaluru North  PS, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000007,Market - Bengaluru North  PS Area,Market,13.14391,77.47031,STN-KA-BLR-0000,KA-BLR,"Near Bengaluru North  PS, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000008,Temple - Bengaluru North  PS Area,Temple,13.08512,77.47081,STN-KA-BLR-0000,KA-BLR,"Near Bengaluru North  PS, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000009,Market - Bengaluru North  PS Area,Market,13.09749,77.45174,STN-KA-BLR-0000,KA-BLR,"Near Bengaluru North  PS, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000010,Metro Station - Bengaluru North PS-2 Area,Metro Station,13.04728,77.68785,STN-KA-BLR-0001,KA-BLR,"Near Bengaluru North PS-2, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000011,Jewellery Shop - Bengaluru North PS-2 Area,Jewellery Shop,13.04065,77.71015,STN-KA-BLR-0001,KA-BLR,"Near Bengaluru North PS-2, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000012,Bank - Bengaluru North PS-3 Area,Bank,13.1815,77.53583,STN-KA-BLR-0002,KA-BLR,"Near Bengaluru North PS-3, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000013,ATM - Bengaluru North PS-3 Area,ATM,13.21644,77.53006,STN-KA-BLR-0002,KA-BLR,"Near Bengaluru North PS-3, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000014,Market - Bengaluru North PS-3 Area,Market,13.21636,77.55585,STN-KA-BLR-0002,KA-BLR,"Near Bengaluru North PS-3, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000015,School - Bengaluru North PS-3 Area,School,13.19738,77.53302,STN-KA-BLR-0002,KA-BLR,"Near Bengaluru North PS-3, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000016,Metro Station - Bengaluru North PS-3 Area,Metro Station,13.19444,77.55037,STN-KA-BLR-0002,KA-BLR,"Near Bengaluru North PS-3, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000017,Temple - Bengaluru North PS-3 Area,Temple,13.2159,77.51059,STN-KA-BLR-0002,KA-BLR,"Near Bengaluru North PS-3, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000018,Temple - Bengaluru North PS-4 Area,Temple,12.94801,77.75456,STN-KA-BLR-0003,KA-BLR,"Near Bengaluru North PS-4, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000019,Temple - Bengaluru North PS-4 Area,Temple,12.90117,77.74528,STN-KA-BLR-0003,KA-BLR,"Near Bengaluru North PS-4, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000020,Metro Station - Bengaluru North PS-4 Area,Metro Station,12.92309,77.72518,STN-KA-BLR-0003,KA-BLR,"Near Bengaluru North PS-4, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000021,Temple - Bengaluru North PS-5 Area,Temple,13.10137,77.58571,STN-KA-BLR-0004,KA-BLR,"Near Bengaluru North PS-5, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000022,School - Bengaluru North PS-5 Area,School,13.11285,77.55646,STN-KA-BLR-0004,KA-BLR,"Near Bengaluru North PS-5, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000023,Bank - Bengaluru North PS-5 Area,Bank,13.10693,77.61117,STN-KA-BLR-0004,KA-BLR,"Near Bengaluru North PS-5, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000024,School - Bengaluru North PS-5 Area,School,13.08641,77.59484,STN-KA-BLR-0004,KA-BLR,"Near Bengaluru North PS-5, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000025,Market - Bengaluru North PS-6 Area,Market,12.92003,77.39998,STN-KA-BLR-0005,KA-BLR,"Near Bengaluru North PS-6, Bengaluru Urban",Unspecified,,0.5,24/7,50
