station_id,name,district_id,district_name,taluk,station_type,jurisdiction_area_km2,population_served,officer_quota,latitude,longitude,established_year,is_cyber_cell,is_traffic_cell,phone,address
STN-KA-BLR-0000,Bengaluru North  PS,KA-BLR,Bengaluru Urban,Bengaluru North,city,5.63,436123,48,12.811919,77.487455,2014,false,false,080-29142600,"Near Court Complex, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0001,Bengaluru North PS-2,KA-BLR,Bengaluru Urban,Bengaluru North,city,16.23,447833,40,12.886126,77.705398,1963,true,true,080-25770619,"Near Taluk Office, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0002,Bengaluru North PS-3,KA-BLR,Bengaluru Urban,Bengaluru North,city,23.24,248461,56,13.030941,77.681829,1955,false,false,080-21338687,"Near Bus Stand, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0003,Bengaluru North PS-4,KA-BLR,Bengaluru Urban,Bengaluru North,city,14.5,135277,36,13.043652,77.468455,1981,true,false,080-29344066,"Near Bus Stand, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0004,Bengaluru North PS-5,KA-BLR,Bengaluru Urban,Bengaluru North,town,123.12,51347,12,13.165254,77.626872,1990,false,false,080-27698256,"Near Bus Stand, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0005,Bengaluru North PS-6,KA-BLR,Bengaluru Urban,Bengaluru North,city,8.49,441650,41,13.003811,77.436364,1956,false,true,080-22684052,"Near Court Complex, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0006,Bengaluru North PS-7,KA-BLR,Bengaluru Urban,Bengaluru North,city,14.62,181813,51,13.107439,77.53607,1987,false,false,080-24418934,"Near Bus Stand, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0007,Bengaluru North PS-8,KA-BLR,Bengaluru Urban,Bengaluru North,rural,254.46,9517,6,13.015752,77.711451,1950,false,false,080-21876828,"Near Taluk Office, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0008,Bengaluru North PS-9,KA-BLR,Bengaluru Urban,Bengaluru North,city,10.99,91291,56,13.106334,77.451357,2010,false,true,080-28852897,"Near Court Complex, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0009,Bengaluru North PS-10,KA-BLR,Bengaluru Urban,Bengaluru North,city,28.22,423790,51,12.97524,77.60703,1965,false,true,080-20352896,"Near Bus Stand, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0010,Bengaluru North PS-11,KA-BLR,Bengaluru Urban,Bengaluru North,city,5.18,85337,32,12.911391,77.594166,1966,false,false,080-29667227,"Near Court Complex, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0011,Bengaluru North PS-12,KA-BLR,Bengaluru Urban,Bengaluru North,city,24.62,100819,43,13.145535,77.421668,1962,true,false,080-21833230,"Near Bus Stand, Bengaluru North, Bengaluru Urban"
STN-KA-BLR-0012,Bengaluru South PS-13,KA-BLR,Bengaluru Urban,Bengaluru South,city,9.76,196037,57,13.123209,77.742387,1962,true,false,080-20247595,"Near Main Road, Bengaluru South, Bengaluru Urban"
STN-KA-BLR-0013,Bengaluru South PS-14,KA-BLR,Bengaluru Urban,Bengaluru South,city,9.16,260260,42,12.906081,77.713628,2008,false,false,080-29324245,"Near Court Complex, Bengaluru South, Bengaluru Urban"
STN-KA-BLR-0014,Bengaluru South PS-15,KA-BLR,Bengaluru Urban,Bengaluru South,city,9.75,435738,31,13.00114,77.741088,1970,true,false,080-23117625,"Near Main Road, Bengaluru South, Bengaluru Urban"
STN-KA-BLR-0015,Bengaluru South PS-16,KA-BLR,Bengaluru Urban,Bengaluru South,city,21.88,348673,49,13.062949,77.626091,1990,false,true,080-25271130,"Near Bus Stand, Bengaluru South, Bengaluru Urban"
STN-KA-BLR-0016,Bengaluru South PS-17,KA-BLR,Bengaluru Urban,Bengaluru South,city,14.89,215767,44,12.829304,77.485262,1983,true,false,080-21154126,"Near Bus Stand, Bengaluru South, Bengaluru Urban"
STN-KA-BLR-0017,Bengaluru South PS-18,KA-BLR,Bengaluru Urban,Bengaluru South,town,82.58,79329,27,13.172702,77.441435,1967,false,false,080-29281552,"Near Bus Stand, Bengaluru South, Bengaluru Urban"
STN-KA-BLR-0018,Bengaluru South PS-19,KA-BLR,Bengaluru Urban,Bengaluru South,city,12.04,410446,45,12.836919,77.56943,1985,true,false,080-22194789,"Near Taluk Office, Bengaluru South, Bengaluru Urban"
STN-KA-BLR-0019,Bengaluru South PS-20,KA-BLR,Bengaluru Urban,Bengaluru South,city,23.53,55069,60,12.814411,77.547686,1968,false,true,080-26117837,"Near Main Road, Bengaluru South, Bengaluru Urban"
STN-KA-BLR-0020,Bengaluru East PS-21,KA-BLR,Bengaluru Urban,Bengaluru East,town,59.94,63264,17,13.190482,77.724309,2002,true,false,080-25573147,"Near Court Complex, Bengaluru East, Bengaluru Urban"
STN-KA-BLR-0021,Bengaluru East PS-22,KA-BLR,Bengaluru Urban,Bengaluru East,city,11.67,70302,36,12.922076,77.718138,1979,false,false,080-26685149,"Near Taluk Office, Bengaluru East, Bengaluru Urban"
STN-KA-BLR-0022,Bengaluru East PS-23,KA-BLR,Bengaluru Urban,Bengaluru East,city,26.61,386321,51,13.175695,77.446137,1983,true,false,080-24453786,"Near Main Road, Bengaluru East, Bengaluru Urban"
STN-KA-BLR-0023,Bengaluru East PS-24,KA-BLR,Bengaluru Urban,Bengaluru East,city,19.91,278796,42,12.901889,77.683514,1950,false,false,080-23305700,"Near Taluk Office, Bengaluru East, Bengaluru Urban"
